n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
333,25,0.0750750750750751,0.000208524949482123,0.0144403929822607,0.0729472213913799,0.0028811055291465
334,25,0.0748502994011976,0.000207328539163918,0.0143989075684205,0.0705707521737389,0.00287287291219052
335,26,0.0776119402985075,0.000213696498571965,0.0146183616924731,0.0980463924361625,-0.0152410259604609
336,26,0.0773809523809524,0.000212479585088004,0.0145766794945901,0.0950676417928113,0.00285135904829005
337,26,0.0771513353115727,0.000211273017125264,0.014535233645362,0.0921619185846458,0.00284329838242401
338,26,0.0769230769230769,0.000210076677987465,0.014494022146646,0.0893281377195079,0.00283528285279025
339,26,0.0766961651917404,0.000208890452615403,0.0144530430226788,0.086565201376031,0.00282731208443381
340,26,0.0764705882352941,0.000207714227559536,0.0144122943197652,0.0838720004865884,0.00281938570650008
341,26,0.0762463343108504,0.000206547890953104,0.0143717741059726,0.0812474161802786,0.0028115033521788
342,26,0.0760233918128655,0.000205391332485769,0.0143314804708296,0.0786903211847524,0.00280366465865037
343,26,0.075801749271137,0.000204244443377763,0.0142914115250301,0.0761995811859301,0.00279586926703227
344,26,0.0755813953488372,0.000203107116354535,0.0142515654001424,0.073774056146063,0.00278811682232718
345,26,0.0753623188405797,0.000201979245621886,0.0142119402483224,0.071412601578921,0.00278040697336898
346,27,0.0780346820809249,0.000207934307726745,0.0144199274522012,0.0985693291007588,-0.0146346804338241
347,27,0.0778097982708934,0.000206787992979643,0.0143801249292085,0.095623803168931,0.00276024433025946
348,27,0.0775862068965517,0.000205651113206774,0.0143405408965901,0.092749153954821,0.00275269045388972
349,27,0.0773638968481375,0.00020452356536564,0.0143011735660274,0.0899443560300122,0.00274517752479697
350,27,0.0771428571428571,0.000203405247813411,0.0142620211685936,0.0872083714704921,0.00273770521370371
351,27,0.0769230769230769,0.000202296060284226,0.0142230819544931,0.0845401512343978,0.00273027319481628
352,27,0.0767045454545455,0.000201195903866923,0.0141843541928042,0.0819386365042186,0.00272288114578247
353,27,0.0764872521246459,0.000200104680983192,0.0141458361712269,0.0794027599918054,0.00271552874764412
354,27,0.076271186440678,0.000199022295366128,0.0141075261958335,0.0769314472066017,0.00270821568479341
355,27,0.076056338028169,0.000197948652039194,0.0140694225908242,0.0745236176855954,0.00270094164493186
356,27,0.0758426966292135,0.000196883657295569,0.0140315236982863,0.0721781861856744,0.00269370631902435
357,28,0.0784313725490196,0.000202464684451251,0.0142290085547536,0.0990166237773415,-0.0140743700195183
358,28,0.0782122905027933,0.00020138303943324,0.0141909492083243,0.0961043677833623,0.00267477149112881
359,28,0.0779944289693593,0.000200310022337334,0.0141530923242002,0.0932609469310717,0.00266767807906164
360,28,0.0777777777777778,0.000199245541838134,0.0141154362964144,0.0904853902017775,0.00266062192792607
361,28,0.0775623268698061,0.000198189507812597,0.0140779795358779,0.0877767143575664,0.00265360274737441
362,28,0.0773480662983425,0.000197141831321132,0.0140407204701586,0.0851339252231015,0.00264662025003653
363,28,0.0771349862258953,0.000196102424589053,0.0140036575432654,0.082556018935623,0.00263967415148279
364,28,0.0769230769230769,0.000195071200988361,0.0139667892154339,0.0800419831621457,0.00263276417018613
365,28,0.0767123287671233,0.000194048075019858,0.0139301139629171,0.0775907982830041,0.00262589002748618
366,28,0.0765027322404372,0.000193032962295588,0.0138936302777779,0.0752014385417437,0.00261905144755297
367,28,0.0762942779291553,0.000192025779521592,0.0138573366676859,0.0728728731608068,0.00261224815735208
368,29,0.078804347826087,0.000197266909211392,0.0140451738761537,0.0993944298963844,-0.0135550728810595
369,29,0.0785907859078591,0.000196244645740499,0.0140087346231021,0.0965153936489692,0.00259443232052313
370,29,0.0783783783783784,0.000195230292381498,0.0139724834006521,0.0937032526555508,0.00258775852532949
371,29,0.078167115902965,0.000194223767909373,0.0139364187619838,0.0909570856443894,0.00258111873417028
372,29,0.0779569892473118,0.000193224992136576,0.0139005392750273,0.088275959430861,0.00257451269004267
373,29,0.0777479892761394,0.000192233885897203,0.0138648435222762,0.0856589301122176,0.00256794013849973
374,29,0.0775401069518717,0.000191250371031454,0.0138293301006034,0.0831050442335406,0.00256140082762007
375,29,0.0773333333333333,0.00019027437037037,0.0137939976210804,0.080613339924106,0.00255489450797616
376,29,0.0771276595744681,0.000189305807720833,0.0137588447087985,0.0781828480037076,0.00254842093260374
377,29,0.0769230769230769,0.000188344607850831,0.0137238700026935,0.0758125930589209,0.00254197985697275
378,29,0.0767195767195767,0.000187390696474989,0.0136890721553723,0.0735015944877385,0.00253557103895726
379,30,0.079155672823219,0.000192322037686339,0.013868022125968,0.099708318285022,-0.0130724689419898
380,30,0.0789473684210526,0.000191354424843272,0.0138330916588907,0.096862373207898,0.002518777858879
381,30,0.078740157480315,0.000190394081575565,0.0137983361886702,0.0940814783039521,0.00251248752466718
382,30,0.0785340314136126,0.000189440935401933,0.0137637544079344,0.0913647578977909,0.00250622830629365
383,30,0.0783289817232376,0.000188494914740048,0.0137293450222524,0.0887113247283836,0.00249999997544933
384,30,0.078125,0.000187555948893229,0.0136951067499757,0.0861202810641044,0.0024938023060295
385,30,0.0779220779220779,0.00018662396803736,0.0136610383220808,0.0835907197918021,0.00248763507410727
386,30,0.077720207253886,0.000185698903208029,0.0136271384820155,0.0811217254795871,0.00248149805790852
387,30,0.0775193798449612,0.000184780686287891,0.0135934059855465,0.0787123754120177,0.00247539103778535
388,30,0.077319587628866,0.000183869249994248,0.0135598396006091,0.0763617405981215,0.00246931379619246
389,30,0.077120822622108,0.000182964527866831,0.01352643810716,0.0740688867517836,0.00246326611766099
390,31,0.0794871794871795,0.000187612737908596,0.0136971799253933,0.0999633426102187,-0.0126228218308881
391,31,0.0792838874680307,0.000186695531089482,0.0136636573101597,0.0971502958734897,0.00244741000819921
392,31,0.0790816326530612,0.000185785020484662,0.0136302978868645,0.0944005426883913,0.002441471015997
393,31,0.0788804071246819,0.000184881141212535,0.0135971004707818,0.0917132492708942,0.00243556056941623
394,31,0.0786802030456853,0.000183983829173541,0.0135640638885822,0.0890875705919645,0.00242967846494759
