n,xr,phat_r,variance_r,sigma_r,tail_probability,relative_gain
255,35,0.137254901960784,0.000464376446464784,0.0215493955011454,0.0344436383246944,-0.00863693617948188
256,35,0.13671875,0.000461041927337647,0.0214718869067822,0.0361795324852763,0.00359678740682054
257,35,0.136186770428016,0.000457742933807014,0.0213949277588641,0.0379811091276172,0.00358418187708623
258,35,0.135658914728682,0.000454478967377203,0.0213185123162289,0.0398497399678596,0.00357166163384482
259,35,0.135135135135135,0.000451249538174301,0.0212426349159962,0.0417867760442297,0.00355922585531107
260,35,0.134615384615385,0.000448054164770141,0.0211672899722695,0.0437935454193284,0.00354687372939592
261,35,0.134099616858238,0.000444892374010389,0.0210924719748632,0.0458713508785097,0.00353460445358562
262,35,0.133587786259542,0.00044176370084663,0.0210181754880539,0.0480214676290122,0.00352241723482346
263,36,0.136882129277567,0.000449222098714852,0.0211948601956902,0.0335358239213988,-0.00840628187430979
264,36,0.136363636363636,0.000446093163035312,0.0211209176655588,0.0352067556297807,0.00348870100810877
265,36,0.135849056603774,0.000442996567636371,0.0210474836414326,0.0369404384852852,0.00347683870980402
266,36,0.135338345864662,0.000439931872192778,0.0209745529676505,0.0387381922289271,0.00346505430409075
267,36,0.134831460674157,0.000436898643770152,0.0209021205567797,0.0406013188359764,0.00345334706215508
268,36,0.134328358208955,0.000433896456678514,0.0208301813885169,0.0425311004035443,0.0034417162635434
269,36,0.133828996282528,0.000430924892329141,0.0207587305086111,0.044528797030548,0.00343016119605912
270,36,0.133333333333333,0.00042798353909465,0.0206877630278058,0.0465956446946547,0.00341868115566235
271,36,0.132841328413284,0.000425071992172244,0.0206172741208008,0.0487328531302887,0.00340727544637171
272,37,0.136029411764706,0.000432078716542846,0.0207865032302897,0.0342532659787702,-0.00820812239762373
273,37,0.135531135531136,0.000429166471914932,0.0207163334573214,0.035922099752178,0.00337573723636812
274,37,0.135036496350365,0.000426283361327675,0.0206466307500201,0.0376521945121788,0.00336462566818974
275,37,0.134545454545455,0.000423429000751315,0.0205773905233709,0.0394448053013386,0.00335358478036919
276,37,0.134057971014493,0.000420603012398443,0.0205086082511331,0.0413011700306908,0.00334261393152517
277,37,0.133574007220217,0.000417805024604152,0.020440279464923,0.0432225075255856,0.00333171248742816
278,37,0.133093525179856,0.000415034671708831,0.0203723997533141,0.0452100155649021,0.00332087982091408
279,37,0.132616487455197,0.000412291593943522,0.0203049647609525,0.0472648689179393,0.00331011531180171
280,37,0.132142857142857,0.000409575437317784,0.0202379701876889,0.0493882173827415,0.00329941834680884
281,38,0.135231316725979,0.000416170134172728,0.0204002483850743,0.0349264927034912,-0.00801850165211596
282,38,0.134751773049645,0.000413452952871001,0.0203335425558608,0.0365919618161528,0.00326985377601487
283,38,0.134275618374558,0.00041076210842646,0.0202672669204918,0.0383172518602141,0.00325942393888901
284,38,0.133802816901408,0.00040809726440372,0.0202014173860083,0.0401035582594664,0.00324905843208936
285,38,0.133333333333333,0.000405458089668616,0.0201359899103227,0.041952059942248,0.00323875668897392
286,38,0.132867132867133,0.000402844258289512,0.0200709805014482,0.0438639175295212,0.00322851814904671
287,38,0.132404181184669,0.000400255449440719,0.0200063852167432,0.0458402715173008,0.00321834225788568
288,38,0.131944444444444,0.000397691347307956,0.0199422001621676,0.0478822404574724,0.00320822846707306
289,38,0.131487889273356,0.000395151640995827,0.0198784214915528,0.0499909191399129,0.00319817623412478
290,39,0.13448275862069,0.000401369469842962,0.0200342074922609,0.0355575684740174,-0.00783694021048483
291,39,0.134020618556701,0.000398828496076908,0.0199706909263778,0.0372185493046171,0.00317040571271043
292,39,0.133561643835616,0.000396311407984741,0.0199075716245036,0.0389379598956634,0.00316059680192718
293,39,0.133105802047782,0.000393817909587025,0.0198448459199618,0.0407169406174168,0.00315084660876377
